Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,97.428043,
1,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,97.428043,
2,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,97.428043,
3,0.974877,0.986235,0.973576,0.962014,0.955988,0.064865,0.064865,1.000000,1.000000,1.000000,1.000000,92.054528,
4,0.981053,0.993898,0.985409,0.968964,0.942910,0.750074,0.898977,1.000000,1.000000,1.000000,1.000000,94.340151,
5,0.964536,0.983231,0.966959,0.949184,0.917147,0.750074,0.750074,1.000000,1.000000,1.000000,1.000000,90.752415,
6,0.971647,0.985860,0.971937,0.959515,0.941215,0.415738,0.840825,0.999998,0.999999,0.999999,0.999999,91.836786,
7,0.977277,0.988361,0.978623,0.968092,0.949077,0.415738,0.415738,1.000000,1.000000,1.000000,1.000000,93.059301,
8,0.974263,0.988227,0.974628,0.957953,0.950894,1.107881,1.107881,0.999998,0.999999,0.999999,0.999999,93.353404,
9,0.969950,0.984869,0.967235,0.954823,0.949805,1.463484,1.463484,0.999997,0.999998,0.999998,0.999998,92.900065,
10,0.967232,0.985823,0.965221,0.953870,0.934009,1.510105,1.510105,0.997475,0.999997,0.999997,0.999997,92.370159,
11,0.963829,0.984675,0.964504,0.954150,0.916306,1.613620,1.613620,0.989077,0.999294,0.999636,0.999799,91.727340,
12,0.974789,0.987393,0.970505,0.964720,0.960984,1.790430,1.790430,0.969462,0.999790,0.999950,0.999710,94.341929,
13,0.970625,0.986582,0.968590,0.960508,0.945691,1.910218,2.049293,0.946675,0.997393,0.997384,0.996871,93.223761,
14,0.974487,0.987660,0.973694,0.968342,0.950078,1.910218,1.910218,0.939573,0.999259,0.999867,1.000162,94.442855,
15,0.975790,0.986990,0.973822,0.968613,0.960741,2.173944,2.173944,0.928130,0.997884,0.998484,0.998766,94.890358,
16,0.976752,0.987185,0.973195,0.965613,0.971671,2.373899,2.373899,0.925021,0.999416,1.000036,1.000312,95.565425,
17,0.980024,0.987925,0.976581,0.964133,0.986056,2.397848,2.597701,0.924762,1.000290,1.000943,1.001084,96.418356,
