Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,97.428043,
1,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,97.428043,
2,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,97.428043,
3,0.968051,0.981548,0.960585,0.962106,0.945327,0.186680,0.186680,1.000000,1.000000,1.000000,1.000000,90.742297,
4,0.982152,0.990327,0.982370,0.974371,0.963504,0.748834,0.748834,1.000000,1.000000,1.000000,1.000000,94.577556,
5,0.966433,0.982907,0.964581,0.948088,0.939713,0.792366,0.792366,1.000000,1.000000,1.000000,1.000000,91.221676,
6,0.971072,0.984368,0.969247,0.958499,0.947384,0.519952,0.923992,0.999998,0.999999,0.999999,0.999999,91.855204,
7,0.965757,0.982412,0.964044,0.949334,0.936203,0.519952,0.519952,0.999998,0.999999,0.999999,0.999999,90.702285,
8,0.967308,0.986336,0.969211,0.942123,0.935612,0.990160,0.990160,0.999999,0.999999,0.999999,0.999999,91.681618,
9,0.965118,0.983768,0.961812,0.951711,0.930843,1.505713,1.535474,0.999919,0.999998,0.999999,0.999999,91.907340,
10,0.975685,0.985606,0.972140,0.968744,0.961742,1.505713,1.505713,0.995808,0.999998,0.999998,0.999998,94.201258,
11,0.976179,0.985447,0.972575,0.969597,0.964521,1.585511,1.585511,0.982493,0.999962,0.999993,0.999998,94.404497,
12,0.976551,0.987073,0.973776,0.973374,0.955719,1.749756,1.749756,0.963853,0.999895,0.999995,0.999967,94.689194,
13,0.969169,0.985156,0.968814,0.960211,0.937350,1.912253,1.938080,0.941667,0.998846,0.999298,0.999389,93.199589,
14,0.972207,0.985787,0.970368,0.965450,0.947878,1.912253,1.912253,0.934835,0.999144,0.999730,0.999916,93.919090,
15,0.973277,0.985620,0.971318,0.969539,0.949853,2.270601,2.270601,0.932692,0.998385,0.999398,0.999636,94.587829,
16,0.975334,0.986157,0.973664,0.972366,0.955536,2.327967,2.327967,0.931655,0.997860,0.999014,0.998981,95.039604,
17,0.979065,0.987162,0.978027,0.975995,0.965538,2.524343,2.644227,0.929252,0.997876,0.999154,0.999334,96.147727,
