Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.998562,1.000000,1.000000,1.000000,0.987853,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,97.114796,
1,0.998562,1.000000,1.000000,1.000000,0.987853,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,97.114796,
2,0.998562,1.000000,1.000000,1.000000,0.987853,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,97.114796,
3,0.991239,0.995841,0.992557,0.991118,0.971905,0.004126,0.004126,1.000000,1.000000,1.000000,1.000000,95.525915,
4,0.970154,0.987915,0.976497,0.958203,0.913344,0.902373,0.902373,1.000000,1.000000,1.000000,1.000000,92.179793,
5,0.978879,0.989294,0.981006,0.969106,0.953604,0.693251,0.973579,1.000000,1.000000,1.000000,1.000000,93.789091,
6,0.964623,0.983588,0.967837,0.950853,0.916462,0.693251,0.693251,0.999999,0.999999,0.999999,0.999999,90.693555,
7,0.968063,0.984256,0.971510,0.952677,0.931197,0.728537,0.728537,0.999997,0.999998,0.999998,0.999998,91.487978,
8,0.969441,0.987697,0.974775,0.956584,0.919140,0.918808,0.918808,0.999998,0.999999,0.999999,0.999999,92.047168,
9,0.972859,0.987138,0.971963,0.949760,0.963107,1.252089,1.474687,0.999669,0.999997,0.999997,0.999997,93.244477,
10,0.965511,0.987084,0.970318,0.946061,0.921550,1.252089,1.252089,0.996069,0.999997,0.999997,0.999997,91.644482,
11,0.961685,0.985706,0.965979,0.941743,0.915667,1.626724,1.626724,0.989230,0.999641,0.999967,0.999995,91.311611,
12,0.985495,0.990899,0.984617,0.980131,0.979814,1.813023,2.022537,0.988256,1.000077,0.999997,1.000082,96.757135,
13,0.980081,0.989525,0.981225,0.974899,0.961710,1.813023,1.813023,0.967546,0.998070,0.998566,0.997818,95.302098,
14,0.977989,0.989380,0.979044,0.975884,0.952358,1.925500,1.925500,0.955645,0.998887,0.999067,0.998704,95.084864,
15,0.981203,0.988099,0.979016,0.975882,0.975188,2.235299,2.235299,0.942152,0.999131,0.999676,0.999567,96.288218,
16,0.978444,0.987157,0.982876,0.974376,0.958670,2.387760,2.387760,0.930525,0.995722,0.996155,0.996019,95.421290,
17,0.979433,0.986530,0.976534,0.972732,0.976413,2.622043,2.633742,0.926287,0.997854,0.998122,0.998848,96.270045,
18,0.978661,0.985416,0.978145,0.968379,0.977350,2.622043,2.622043,0.917380,0.996309,0.996960,0.996233,95.825141,
19,0.980622,0.984681,0.977211,0.973869,0.984446,2.790756,2.790756,0.909126,0.997617,0.998743,0.999585,96.824685,
20,0.980728,0.982982,0.980324,0.976885,0.981167,2.986693,2.986693,0.909958,0.998494,0.999447,1.000059,97.181121,
21,0.978523,0.984642,0.979096,0.972946,0.973450,3.133583,3.133583,0.908664,0.997852,0.999086,0.999366,96.816363,
22,0.978334,0.983245,0.976635,0.975421,0.975411,3.247882,3.247882,0.905783,0.996666,0.998769,0.998824,96.858691,
23,0.976841,0.983991,0.974703,0.974670,0.970761,3.369996,3.369996,0.897754,0.996591,0.999082,0.999959,96.789762,
24,0.974936,0.981801,0.971226,0.973822,0.970268,3.627019,3.630233,0.892132,0.996910,1.000210,1.001227,96.857207,
25,0.976925,0.982255,0.972952,0.969916,0.980024,3.627019,3.627019,0.887997,0.996501,1.000301,1.001666,97.325363,
26,0.977793,0.981908,0.969034,0.983692,0.975692,3.848523,3.848523,0.875902,0.993374,0.997818,1.000193,97.545870,
27,0.975434,0.982636,0.968833,0.977522,0.971007,4.044454,4.044454,0.868702,0.992534,0.996916,0.998287,97.079068,
28,0.974438,0.980164,0.970515,0.976595,0.969483,4.092648,4.092648,0.859098,0.989772,0.995327,0.997159,96.739738,
29,0.981125,0.978367,0.975632,0.982813,0.987295,4.371075,4.371075,0.850104,0.988270,0.994075,0.995088,98.320540,
30,0.980683,0.981055,0.974166,0.987163,0.980109,4.491544,4.491544,0.840209,0.985520,0.992774,0.995029,98.292249,
31,0.980034,0.980963,0.971476,0.981144,0.984876,4.713729,4.713729,0.832350,0.985667,0.994954,0.997753,98.741346,
