Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,97.428043,
1,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,97.428043,
2,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,97.428043,
3,0.967095,0.981016,0.962637,0.950627,0.952671,0.281578,0.700345,0.999999,1.000000,1.000000,1.000000,90.665411,
4,0.986337,0.993587,0.986423,0.981397,0.967041,0.281578,0.281578,1.000000,1.000000,1.000000,1.000000,94.843792,
5,0.966965,0.982669,0.964845,0.951415,0.940052,0.739143,0.739143,1.000000,1.000000,1.000000,1.000000,91.264299,
6,0.967677,0.984139,0.967203,0.953035,0.934551,0.680630,0.929874,0.999999,1.000000,1.000000,1.000000,91.338688,
7,0.970089,0.983815,0.967220,0.954618,0.952870,0.680630,0.680630,0.999998,0.999999,0.999999,0.999999,91.861992,
8,0.969325,0.988713,0.972014,0.950446,0.927875,0.972178,0.972178,0.999998,0.999999,0.999999,0.999999,92.094962,
9,0.968844,0.985669,0.965855,0.945809,0.953800,1.523370,1.523370,0.999991,0.999998,0.999999,0.999999,92.741023,
10,0.969018,0.986820,0.962976,0.938567,0.967939,1.552057,1.570182,0.996115,0.999997,0.999998,0.999998,92.813911,
11,0.975791,0.985790,0.969081,0.956375,0.984575,1.552057,1.552057,0.986063,0.999957,0.999986,0.999997,94.277405,
12,0.979715,0.988569,0.977938,0.969445,0.971547,1.644786,1.644786,0.972337,0.999817,0.999907,0.999950,95.238250,
13,0.977864,0.987792,0.977437,0.967449,0.965537,1.895992,2.039907,0.957465,0.999261,0.999378,0.999149,95.070979,
14,0.979605,0.988405,0.979372,0.969528,0.969866,1.895992,1.895992,0.951420,0.999986,1.000161,1.000178,95.566904,
15,0.980862,0.988572,0.979430,0.971322,0.975924,2.264881,2.267633,0.943208,0.999622,0.999991,1.000193,96.320874,
16,0.979492,0.988405,0.978584,0.973403,0.967821,2.264881,2.264881,0.935725,0.998892,0.999738,0.999872,95.975065,
17,0.981773,0.987892,0.978934,0.974802,0.980495,2.543821,2.671835,0.931978,0.998824,0.999417,0.999506,96.797681,
