Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
49,0.972531,0.951853,0.960168,0.977606,0.988819,8.173838,8.173838,0.796304,0.978598,0.989820,0.993809,100.000000,
50,0.987161,0.975794,0.977010,0.989334,0.998454,1.553035,8.349868,0.828368,0.987105,0.994502,0.996592,96.101440,
51,0.976683,0.959454,0.964992,0.980703,0.990230,1.553035,1.553035,0.798233,0.978157,0.990037,0.994522,93.416606,
52,0.975871,0.960320,0.963482,0.978314,0.990463,1.600963,1.600963,0.798682,0.979552,0.990894,0.994497,93.345023,
53,0.975028,0.960387,0.961785,0.979048,0.988287,1.638447,1.638447,0.797744,0.977094,0.989066,0.993131,93.009639,
54,0.987022,0.977524,0.979292,0.988510,0.996001,1.679454,1.679454,0.830377,0.987652,0.994743,0.996820,96.269930,
55,0.972484,0.953872,0.958928,0.976013,0.988391,1.719160,1.719160,0.792578,0.976635,0.989259,0.993837,92.626047,
56,0.974497,0.957268,0.961673,0.976707,0.989768,1.761200,1.761200,0.797925,0.979150,0.990807,0.994931,93.284546,
57,0.974862,0.956850,0.960246,0.977586,0.991575,1.808150,1.808150,0.792807,0.976427,0.989218,0.993757,93.249363,
58,0.986313,0.977093,0.977426,0.988031,0.995352,1.848874,1.848874,0.828566,0.987113,0.994538,0.996695,96.316462,
59,0.974040,0.957669,0.960790,0.976770,0.988944,1.895419,1.895419,0.793889,0.975252,0.988518,0.993566,93.132615,
60,0.973604,0.957102,0.958419,0.977647,0.988318,1.944429,1.944429,0.794095,0.977558,0.989803,0.994243,93.222664,
61,0.974704,0.961189,0.958294,0.976726,0.990340,1.992417,1.992417,0.792070,0.975103,0.988295,0.993115,93.356704,
62,0.985620,0.976504,0.976049,0.987648,0.994616,2.042874,2.042874,0.821706,0.986203,0.994259,0.997206,96.443379,
63,0.974062,0.960797,0.957823,0.977268,0.988496,2.088784,2.088784,0.790209,0.974645,0.988344,0.993666,93.386627,
64,0.971717,0.956948,0.957488,0.973362,0.986588,2.136175,2.136175,0.789916,0.976049,0.989035,0.993746,92.981352,
65,0.970142,0.951885,0.952778,0.973338,0.987550,2.184038,2.184038,0.783842,0.972771,0.987204,0.992423,92.500924,
66,0.984197,0.974304,0.973888,0.986068,0.993975,2.227025,2.227025,0.816295,0.985154,0.993722,0.996382,96.278241,
67,0.970251,0.952706,0.953137,0.975384,0.985496,2.270743,2.270743,0.783151,0.973316,0.987718,0.992864,92.696835,
68,0.973561,0.957737,0.956632,0.976115,0.989688,2.313709,2.313709,0.786838,0.976223,0.989287,0.994155,93.656590,
69,0.972566,0.955492,0.956572,0.974789,0.988990,2.358251,2.358251,0.778714,0.973574,0.988013,0.993382,93.368484,
70,0.984259,0.974896,0.974411,0.984772,0.995033,2.404613,2.404613,0.809513,0.984111,0.993292,0.996314,96.492674,
71,0.972610,0.955650,0.956483,0.974178,0.989441,2.455469,2.455469,0.783593,0.975783,0.989247,0.994276,93.638735,
72,0.973433,0.957316,0.956375,0.975148,0.990135,2.496350,2.496350,0.777431,0.973041,0.987808,0.993494,93.732292,
73,0.985203,0.974525,0.975000,0.986286,0.995904,2.543468,2.543468,0.807472,0.984440,0.993607,0.996611,96.918177,
74,0.972670,0.957390,0.956890,0.973341,0.989111,2.588362,2.588362,0.778072,0.973441,0.987929,0.992942,93.647554,
75,0.972599,0.954902,0.956039,0.975779,0.988624,2.637537,2.637537,0.776898,0.975365,0.988985,0.993573,93.800604,
76,0.970236,0.954789,0.953706,0.970783,0.987487,2.686424,2.686424,0.771065,0.971345,0.986837,0.992342,93.139288,
77,0.982702,0.974533,0.973591,0.981740,0.992905,2.735366,2.735366,0.800452,0.982950,0.992547,0.995724,96.494222,
78,0.971175,0.954847,0.956271,0.971312,0.987997,2.780738,2.780738,0.771402,0.973598,0.988073,0.993453,93.616863,
79,0.969899,0.953031,0.954938,0.971368,0.985957,2.835662,2.835662,0.764041,0.970373,0.986490,0.992777,93.272374,
80,0.983863,0.973910,0.974018,0.983919,0.994376,2.885939,2.885939,0.797085,0.982630,0.992701,0.996041,96.971919,
81,0.971323,0.954041,0.955592,0.972016,0.988266,2.941934,2.941934,0.768429,0.971890,0.987053,0.992712,93.743347,
82,0.972245,0.955338,0.956326,0.973791,0.988631,2.997268,2.997268,0.772204,0.974847,0.988508,0.993644,94.166076,
83,0.972259,0.953642,0.955758,0.974719,0.988665,3.052078,3.052078,0.767173,0.972418,0.987459,0.993254,94.150656,
