Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,97.428043,
1,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,97.428043,
2,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,97.428043,
3,0.965028,0.980931,0.961712,0.947042,0.941259,0.171205,0.171205,1.000000,1.000000,1.000000,1.000000,90.066208,
4,0.979156,0.988239,0.976726,0.964988,0.972981,0.726251,0.739747,0.999999,0.999999,0.999999,0.999999,93.894610,
5,0.965829,0.981839,0.963418,0.947870,0.940460,0.726251,0.726251,0.999999,0.999999,0.999999,0.999999,91.000379,
6,0.964649,0.981994,0.962613,0.945444,0.936182,0.626696,0.908690,0.999999,0.999999,0.999999,0.999999,90.608204,
7,0.964136,0.981519,0.961578,0.944270,0.938160,0.626696,0.626696,0.999999,1.000000,1.000000,1.000000,90.497128,
8,0.966296,0.985456,0.967364,0.940480,0.936283,1.011069,1.011069,0.999988,0.999999,0.999999,0.999999,91.490563,
9,0.971276,0.982378,0.966823,0.958966,0.961863,1.487041,1.499386,0.999326,0.999999,0.999999,0.999999,93.219927,
10,0.969016,0.984498,0.967815,0.955553,0.941100,1.487041,1.487041,0.990470,0.999995,0.999998,0.999998,92.719983,
11,0.968544,0.983188,0.965422,0.955871,0.947300,1.572374,1.572374,0.977366,0.999969,0.999998,0.999998,92.721157,
12,0.976208,0.985954,0.973771,0.966764,0.965009,1.799014,1.799014,0.964593,0.999873,0.999969,0.999994,94.682406,
13,0.976568,0.985749,0.974064,0.968659,0.965902,1.866516,1.866516,0.951828,0.999691,0.999970,0.999987,94.840059,
14,0.979239,0.987310,0.976750,0.972432,0.970776,1.941729,1.941729,0.946243,0.999748,1.000098,1.000109,95.534931,
15,0.979028,0.986875,0.976143,0.972803,0.971801,2.280257,2.280257,0.937911,0.999078,0.999924,1.000053,95.919832,
16,0.977891,0.986183,0.976211,0.971697,0.968065,2.336628,2.336628,0.934997,0.998239,0.999549,0.999664,95.692274,
17,0.980052,0.986627,0.977861,0.976626,0.972228,2.514580,2.625507,0.932195,0.998379,0.999651,0.999807,96.415363,
